,rot,betaArmWidth,maxCorr,argRow,argCol
2030,0.14966666666666664,3.013375,209.17696172343133,493.0,957.0
2031,0.14966666666666664,3.01425,208.62198380997953,493.0,956.0
2032,0.14966666666666664,3.015125,208.62198380997953,493.0,956.0
2033,0.14966666666666664,3.016,208.62198380997953,493.0,956.0
2034,0.14966666666666664,3.016875,208.62198380997953,493.0,956.0
2035,0.14966666666666664,3.01775,208.62198380997953,493.0,956.0
2036,0.14966666666666664,3.018625,208.62198380997953,493.0,956.0
2037,0.14966666666666664,3.0195,207.04287137556145,493.0,955.0
2038,0.14966666666666664,3.020375,207.04287137556145,493.0,955.0
2039,0.14966666666666664,3.02125,207.04287137556145,493.0,955.0
2040,0.14966666666666664,3.022125,207.04287137556145,493.0,955.0
2041,0.14966666666666664,3.023,207.04287137556145,493.0,955.0
2042,0.14966666666666664,3.023875,207.04287137556145,493.0,955.0
2043,0.14966666666666664,3.02475,205.93994906455234,493.0,954.0
2044,0.14966666666666664,3.025625,205.93994906455234,493.0,954.0
2045,0.14966666666666664,3.0265,205.93994906455234,493.0,954.0
2046,0.14966666666666664,3.027375,205.93994906455234,493.0,954.0
2047,0.14966666666666664,3.02825,205.93994906455234,493.0,954.0
2048,0.14966666666666664,3.029125,205.93994906455234,493.0,954.0
2049,0.14966666666666664,3.03,205.93994906455234,493.0,954.0
2050,0.15333333333333332,2.995,202.10708197462097,493.0,960.0
2051,0.15333333333333332,2.995875,202.10708197462097,493.0,960.0
2052,0.15333333333333332,2.99675,202.10708197462097,493.0,960.0
2053,0.15333333333333332,2.997625,204.86556760057474,493.0,959.0
2054,0.15333333333333332,2.9985,204.86556760057474,493.0,959.0
2055,0.15333333333333332,2.999375,204.86556760057474,493.0,959.0
2056,0.15333333333333332,3.00025,204.86556760057474,493.0,959.0
2057,0.15333333333333332,3.001125,204.86556760057474,493.0,959.0
2058,0.15333333333333332,3.002,204.86556760057474,493.0,959.0
2059,0.15333333333333332,3.002875,207.83108885037797,493.0,958.0
2060,0.15333333333333332,3.00375,207.83108885037797,493.0,958.0
2061,0.15333333333333332,3.004625,207.83108885037797,493.0,958.0
2062,0.15333333333333332,3.0055,207.83108885037797,493.0,958.0
2063,0.15333333333333332,3.006375,207.83108885037797,493.0,958.0
2064,0.15333333333333332,3.00725,207.83108885037797,493.0,958.0
2065,0.15333333333333332,3.008125,209.17536219034298,493.0,957.0
2066,0.15333333333333332,3.009,209.17536219034298,493.0,957.0
2067,0.15333333333333332,3.009875,209.17536219034298,493.0,957.0
2068,0.15333333333333332,3.01075,209.17536219034298,493.0,957.0
2069,0.15333333333333332,3.011625,209.17536219034298,493.0,957.0
2070,0.15333333333333332,3.0125,209.17536219034298,493.0,957.0
2071,0.15333333333333332,3.013375,209.17536219034298,493.0,957.0
2072,0.15333333333333332,3.01425,208.61977692857388,493.0,956.0
2073,0.15333333333333332,3.015125,208.61977692857388,493.0,956.0
2074,0.15333333333333332,3.016,208.61977692857388,493.0,956.0
2075,0.15333333333333332,3.016875,208.61977692857388,493.0,956.0
2076,0.15333333333333332,3.01775,208.61977692857388,493.0,956.0
2077,0.15333333333333332,3.018625,208.61977692857388,493.0,956.0
2078,0.15333333333333332,3.0195,207.04908724361968,493.0,955.0
2079,0.15333333333333332,3.020375,207.04908724361968,493.0,955.0
2080,0.15333333333333332,3.02125,207.04908724361968,493.0,955.0
2081,0.15333333333333332,3.022125,207.04908724361968,493.0,955.0
2082,0.15333333333333332,3.023,207.04908724361968,493.0,955.0
